date,ticker,bench,close,ma,stop,rs_diff,rs_rank,strength
2025-04-23,GE,SPY,192.4204,180.1307,168.2745,10.18,70.0,0
2025-04-23,PEGA,SPY,44.0165,39.4093,36.5839,-6.14,36.0,0
2025-04-23,SIX2.DE,^GDAXI,73.1126,67.2522,64.141,-8.25,31.0,0
2025-04-24,2GB.DE,^GDAXI,27.2828,22.5596,23.1921,7.68,66.0,0
2025-04-24,HOOD,SPY,48.15,34.2681,35.0062,6.76,64.0,0
2025-04-24,RBLX,SPY,65.69,52.3261,55.1461,5.29,60.0,0
2025-04-24,U,SPY,22.31,20.6508,17.2562,5.25,59.0,0
2025-04-24,ACHR,SPY,8.56,6.1694,6.5041,2.74,52.0,0
2025-04-24,RKLB,SPY,21.88,16.2618,15.4038,-15.21,15.0,0
2025-04-25,VRSN,SPY,267.9271,199.5832,233.8843,35.83,94.0,0
2025-04-25,KGX.DE,^GDAXI,35.7491,34.6514,29.4833,3.59,55.0,0
2025-04-25,TIMA.DE,^GDAXI,42.6727,37.5902,38.0943,-2.36,40.0,0
2025-04-25,CRNC,SPY,9.71,6.8447,6.9828,-18.32,8.0,0
2025-04-28,GFT.DE,^GDAXI,23.1654,20.9591,19.2561,5.27,64.0,0
2025-04-29,HIMS,SPY,35.04,26.7855,24.9813,1.61,51.0,0
2025-04-30,ODD,SPY,61.44,42.1255,44.2715,36.49,94.0,0
2025-04-30,ABBV,SPY,187.6092,178.2974,166.9858,10.51,77.0,0
2025-04-30,V,SPY,341.5894,303.0298,307.5724,7.03,67.0,0
2025-04-30,EXLS,SPY,48.48,42.7324,40.7462,2.1,53.0,0
2025-05-01,DE,SPY,472.5854,418.6015,422.6242,8.91,74.0,0
2025-05-01,NTNX,SPY,70.91,63.3851,61.753,6.88,68.0,0
2025-05-01,IBKR,SPY,43.319,40.8835,37.3275,-14.27,21.0,0
2025-05-02,HAG.DE,^GDAXI,70.3022,40.705,58.0443,73.32,99.0,0
2025-05-02,BABA,SPY,122.5443,97.5621,108.4358,32.59,93.0,0
2025-05-02,BC8.DE,^GDAXI,37.1472,33.8489,32.8635,15.13,81.0,0
2025-05-02,RTX,SPY,127.0951,118.4085,114.6213,7.24,64.0,0
2025-05-02,ADN1.DE,^GDAXI,101.3943,81.1526,85.7067,0.01,52.0,0
2025-05-02,RBC,SPY,344.69,313.687,308.3974,-0.8,47.0,0
2025-05-02,META,SPY,594.6122,576.5295,507.1997,-9.31,24.0,0
2025-05-02,MTX.DE,^GDAXI,313.2567,296.7406,270.639,-10.33,23.0,0
2025-05-02,AIR.DE,^GDAXI,152.128,141.9555,134.1243,-11.94,21.0,0
2025-05-05,LYFT,SPY,13.2,13.0629,11.1098,0.6,50.0,0
2025-05-07,IBM,SPY,243.6701,215.5182,221.3217,8.59,68.0,0
2025-05-07,CSCO,SPY,58.0127,54.3556,54.2192,2.42,60.0,0
2025-05-08,ASAN,SPY,17.25,16.0315,14.9933,-16.48,9.0,0
2025-05-09,TOST,SPY,40.84,33.3699,35.4709,8.93,66.0,0
